I_Id,I_W,I_Fat_C,I_Vis,I_MRP_JD,I_category,I_MRP_US,O_Id,O_Establ_Y,O_Size,I_Recalled,O_Loc_T,O_T,I_O_Sales
FDA15,9.3,Low Fat,0.016172301,225.644532,Dairy,317.8092,OUT049,2009,Medium,NO,Tier 1,Carrefour,3915.138
DRC01,5.92,Regular,0.019403216,82.551132,Soft Drinks,116.2692,OUT018,2019,Medium,YES,Tier 3,C-Town,623.4228
FDN15,17.5,Low Fat,0.016885075,148.82878,Meat,209.618,OUT049,2009,Medium,NO,Tier 1,Carrefour,2277.27
FDX07,19.2,Regular,0,177.56745,Fruits and Vegetables,250.095,OUT010,2008,,NO,Tier 3,Family Basket,912.38
NCD19,8.93,Low Fat,0,86.521594,Household,121.8614,OUT013,1997,High,NO,Tier 3,Carrefour,1174.7052
FDP36,10.395,Regular,0,84.774568,Baking Goods,119.4008,OUT018,2019,Medium,NO,Tier 3,C-Town,736.6088
FDO10,13.65,Regular,0.012866089,89.217748,Snack Foods,125.6588,OUT013,1997,High,NO,Tier 3,Carrefour,523.5528
FDP10,,Low Fat,0.127594857,124.791162,Snack Foods,175.7622,OUT027,1995,Medium,NO,Tier 3,Cozmo,4202.7636
FDH17,16.2,Regular,0.016812114,117.130546,Frozen Foods,164.9726,OUT045,2012,,NO,Tier 2,Carrefour,1256.5986
FDU28,19.2,Regular,0.09457459,181.633194,Frozen Foods,255.8214,OUT017,2017,,NO,Tier 2,Carrefour,4890.535
FDY07,11.8,Low Fat,0,80.613542,Fruits and Vegetables,113.5402,OUT049,2009,Medium,NO,Tier 1,Carrefour,1696.0266
FDA03,18.5,Regular,0.045588773,150.598242,Dairy,212.1102,OUT046,2007,Small,NO,Tier 1,Carrefour,2367.153
FDX32,15.1,Regular,0.1001385,151.569806,Fruits and Vegetables,213.4786,OUT049,2009,Medium,NO,Tier 1,Carrefour,1769.2646
